#marker	uniprot_id	protein	gene	organism	length	go_terms	go_slim_terms
p0149	B8FGP4	Aldehyde dehydrogenase	Dalk_3586	Desulfatibacillum alkenivorans (strain AK-01)	885	GO:0008152,GO:0016491,GO:0016620,GO:0046872,GO:0055114	GO:0008150,GO:0016491,GO:0043167
p0150	A6C0U4	Chromosome partition protein Smc	smc	Gimesia maris DSM 8797	1307	GO:0000166,GO:0003677,GO:0005524,GO:0005694,GO:0005737,GO:0006260,GO:0007059,GO:0051276	GO:0003674,GO:0003677,GO:0005694,GO:0005737,GO:0006259,GO:0007059,GO:0009058,GO:0043167,GO:0051276
p0151	I5AQ83	ABC-type antimicrobial peptide transport system, ATPase component	EubceDRAFT1_0090	[Eubacterium] cellulosolvens 6	1320	GO:0000166,GO:0005524,GO:0005886,GO:0016020,GO:0016021,GO:0016787,GO:0016887,GO:0046677	GO:0003674,GO:0005575,GO:0005886,GO:0008150,GO:0016887,GO:0043167
p0152	B0VJT1	Glutamine synthetase (Glutamate--ammonia ligase) (EC 6.3.1.2)	glnA	Cloacimonas acidaminovorans (strain Evry)	473	GO:0003824,GO:0004356,GO:0005737,GO:0006542,GO:0006807,GO:0009399,GO:0016874	GO:0003674,GO:0005737,GO:0006520,GO:0008150,GO:0009058,GO:0016874
p0153	F0HQX2	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	fabHA	Eggerthella sp. HGA1	370	GO:0003824,GO:0004315,GO:0005737,GO:0006629,GO:0006631,GO:0006633,GO:0008152,GO:0016740,GO:0016746	GO:0003674,GO:0005737,GO:0006629,GO:0008150,GO:0009058,GO:0016746
p0154	Q9HKF1	Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)	argG	Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165)	402	GO:0000166,GO:0004055,GO:0005524,GO:0005737,GO:0006526,GO:0008652,GO:0016874	GO:0003674,GO:0005737,GO:0006520,GO:0009058,GO:0016874,GO:0043167
p0155	A0A060RBS0	NADP-dependent malic enzyme (EC 1.1.1.40)	BN938_1133	Mucinivorans hirudinis	762	GO:0004470,GO:0004471,GO:0004473,GO:0006108,GO:0008152,GO:0008948,GO:0016491,GO:0016746,GO:0046872,GO:0055114	GO:0008150,GO:0016491,GO:0016746,GO:0016829,GO:0043167
p0156	E1R048	1-deoxy-D-xylulose 5-phosphate reductoisomerase (DXP reductoisomerase) (EC 1.1.1.267) (1-deoxyxylulose-5-phosphate reductoisomerase) (2-C-methyl-D-erythritol 4-phosphate synthase)	dxr	Olsenella uli (strain ATCC 49627 / DSM 7084 / CIP 109912 / JCM 12494 / NCIMB 702895 / VPI D76D-27C) (Lactobacillus uli)	403	GO:0008299,GO:0016114,GO:0016491,GO:0016853,GO:0019288,GO:0030604,GO:0046872,GO:0055114	GO:0006629,GO:0008150,GO:0009058,GO:0016491,GO:0016853,GO:0043167
p0157	A4E7M5	4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7)	dapA	Collinsella aerofaciens ATCC 25986	769	GO:0003824,GO:0005737,GO:0008152,GO:0008652,GO:0008836,GO:0008840,GO:0009085,GO:0009089,GO:0016829,GO:0019877	GO:0003674,GO:0005737,GO:0006520,GO:0008150,GO:0009058,GO:0016829
p0158	Q6N4J8	Possible McyE polykeitde synthase and peptide synthetase (AF183408)	mcyE	Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009)	2682	GO:0003824,GO:0008152,GO:0008483,GO:0016740,GO:0016874,GO:0030170	GO:0003674,GO:0008150,GO:0016874,GO:0043167
p0159	Q0RHR7	Putative cation-transporting ATPase I (EC 3.6.3.-)	FRAAL4315	Frankia alni (strain ACN14a)	1611	GO:0000166,GO:0016020,GO:0016021,GO:0016787,GO:0030001,GO:0046872	GO:0003674,GO:0005575,GO:0006810,GO:0043167
p0160	Q8YVS4	Phosphoglucosamine mutase (EC 5.4.2.10)	glmM	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)	490	GO:0000287,GO:0005975,GO:0008966,GO:0016853,GO:0016868,GO:0046872	GO:0005975,GO:0016853,GO:0043167
p0161	A6GFD6	Acetate kinase (EC 2.7.2.1) (Acetokinase)	ackA	Plesiocystis pacifica SIR-1	631	GO:0000166,GO:0000287,GO:0005524,GO:0005622,GO:0005737,GO:0006082,GO:0006085,GO:0008152,GO:0008776,GO:0016301,GO:0016310,GO:0016740,GO:0016747,GO:0016774,GO:0046872	GO:0003674,GO:0005622,GO:0005737,GO:0006790,GO:0008150,GO:0009058,GO:0016301,GO:0016746,GO:0043167,GO:0051186
p0162	D3R256	Ribosome biogenesis GTPase Era	era	Mageeibacillus indolicus (strain UPII9-5) (Clostridiales genomosp. BVAB3 (strain UPII9-5))	563	GO:0000166,GO:0003723,GO:0003924,GO:0004222,GO:0004518,GO:0004519,GO:0004521,GO:0005525,GO:0005622,GO:0005737,GO:0005886,GO:0006364,GO:0006508,GO:0008270,GO:0016020,GO:0016787,GO:0019843,GO:0042254,GO:0046872	GO:0003674,GO:0003723,GO:0003924,GO:0004518,GO:0005575,GO:0005622,GO:0005737,GO:0005886,GO:0008150,GO:0008233,GO:0019843,GO:0034641,GO:0042254,GO:0043167
p0163	A8RTK7	DNA mismatch repair protein MutL	mutL	Clostridium bolteae (strain ATCC BAA-613 / WAL 16351)	763	GO:0005524,GO:0006281,GO:0006298,GO:0006974	GO:0006259,GO:0006950,GO:0043167
p0164	A0A1V0HN93	Glycerol kinase (EC 2.7.1.30)	glpK	Candidatus Riesia pediculicola	515	GO:0004370,GO:0005975,GO:0016301,GO:0016310,GO:0016740,GO:0016773	GO:0003674,GO:0005975,GO:0008150,GO:0016301
p0165	Q9PLG1	Bifunctional enzyme MurC/Ddl [Includes: UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase); D-alanine--D-alanine ligase (EC 6.3.2.4) (D-Ala-D-Ala ligase) (D-alanylalanine synthetase)]	murC/ddl	Chlamydia muridarum (strain MoPn / Nigg)	802	GO:0000166,GO:0003824,GO:0005524,GO:0005737,GO:0007049,GO:0008152,GO:0008360,GO:0008716,GO:0008763,GO:0009058,GO:0009252,GO:0016874,GO:0046872,GO:0051301,GO:0071555	GO:0000902,GO:0003674,GO:0005737,GO:0007049,GO:0008150,GO:0009058,GO:0016874,GO:0043167,GO:0051301,GO:0071554
p0166	D0LU85	Ribonuclease R (RNase R) (EC 3.1.13.1)	rnr	Haliangium ochraceum (strain DSM 14365 / JCM 11303 / SMP-2)	1004	GO:0003676,GO:0003677,GO:0003723,GO:0004518,GO:0004527,GO:0004540,GO:0005737,GO:0008859,GO:0016070,GO:0016787	GO:0003674,GO:0003677,GO:0003723,GO:0004518,GO:0005737,GO:0034641
p0167	Q5JIQ3	Glutamate synthase beta chain-related oxidoreductase, containing 2Fe-2S and 4Fe-4S clusters	TK1612	Thermococcus kodakarensis (strain ATCC BAA-918 / JCM 12380 / KOD1) (Pyrococcus kodakaraensis (strain KOD1))	952	GO:0005737,GO:0008137,GO:0009055,GO:0016020,GO:0016491,GO:0042773,GO:0055114	GO:0005575,GO:0005737,GO:0006091,GO:0006810,GO:0008150,GO:0009058,GO:0016491,GO:0034641
p0168	D9RRX6	Phosphomethylpyrimidine synthase (EC 4.1.99.17) (Hydroxymethylpyrimidine phosphate synthase) (HMP-P synthase) (HMP-phosphate synthase) (HMPP synthase) (Thiamine biosynthesis protein ThiC)	thiC	Prevotella melaninogenica (strain ATCC 25845 / DSM 7089 / JCM 6325 / VPI 2381 / B282) (Bacteroides melaninogenicus)	525	GO:0008270,GO:0009228,GO:0009229,GO:0016829,GO:0016830,GO:0046872	GO:0006790,GO:0009058,GO:0016829,GO:0034641,GO:0043167,GO:0051186
p0169	E1L0F2	Coenzyme A biosynthesis bifunctional protein CoaBC (EC 4.1.1.36) (EC 6.3.2.5) (DNA/pantothenate metabolism flavoprotein)	coaBC	Atopobium vaginae PB189-T1-4	427	GO:0003824,GO:0004632,GO:0004633,GO:0010181,GO:0015937,GO:0015941,GO:0016829,GO:0016831,GO:0016874	GO:0003674,GO:0009056,GO:0009058,GO:0016829,GO:0016874,GO:0034641,GO:0043167,GO:0051186
p0170	A3DC13	ATPase associated with various cellular activities AAA_3	Cthe_0253	Clostridium thermocellum (strain ATCC 27405 / DSM 1237 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) (Ruminiclostridium thermocellum)	329	GO:0005524,GO:0016887	GO:0016887,GO:0043167
p0171	G3J0W3	3-isopropylmalate dehydrogenase (EC 1.1.1.85)	Mettu_3986	Methylobacter tundripaludum (strain ATCC BAA-1195 / SV96)	368	GO:0000287,GO:0003862,GO:0005737,GO:0008652,GO:0009082,GO:0009098,GO:0016491,GO:0016616,GO:0046872,GO:0055114	GO:0005737,GO:0006520,GO:0008150,GO:0009058,GO:0016491,GO:0043167
p0172	C7HUX3	Transglycosylase (EC 2.4.2.-) (EC 3.4.-.-)	HMPREF0078_1030	Anaerococcus vaginalis ATCC 51170	959	GO:0008658,GO:0016020,GO:0016021,GO:0016740,GO:0016757,GO:0016787	GO:0003674,GO:0005575,GO:0016757,GO:0043167
p0173	A0A1N7BTP0	Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase)	ilvC	Acidiphilium rubrum	371	GO:0000287,GO:0004455,GO:0008652,GO:0009082,GO:0009097,GO:0009099,GO:0016491,GO:0016853,GO:0046872,GO:0055114	GO:0006520,GO:0008150,GO:0009058,GO:0016491,GO:0016853,GO:0043167
p0174	E7H3C4	Uncharacterized protein	HMPREF9464_01212	Sutterella wadsworthensis 3_1_45B	954	GO:0000166,GO:0005886,GO:0006812,GO:0016020,GO:0016021,GO:0016787,GO:0019829,GO:0030001,GO:0046872	GO:0003674,GO:0005575,GO:0005886,GO:0006810,GO:0016887,GO:0022857,GO:0043167
p0175	C6XMZ2	Iron-sulfur cluster carrier protein	Hbal_0460	Hirschia baltica (strain ATCC 49814 / DSM 5838 / IFAM 1418)	397	GO:0000166,GO:0005524,GO:0016787,GO:0016887,GO:0046872	GO:0003674,GO:0016887,GO:0043167
p0176	Q4FSA1	Pseudouridine synthase (EC 5.4.99.-)	rluD	Psychrobacter arcticus (strain DSM 17307 / 273-4)	400	GO:0001522,GO:0003723,GO:0009451,GO:0009982,GO:0016853	GO:0003723,GO:0016853,GO:0034641
p0177	D4M8T5	Ferrous iron transport protein B	SY1_10840	Fretibacterium fastidiosum	843	GO:0005525,GO:0005886,GO:0015093,GO:0015684,GO:0016020,GO:0016021,GO:0055072	GO:0005575,GO:0005886,GO:0006810,GO:0022857,GO:0042592,GO:0043167
p0178	Q72DU3	tRNA (guanine-N(1)-)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase)	trmD	Desulfovibrio vulgaris (strain Hildenborough / ATCC 29579 / DSM 644 / NCIMB 8303)	425	GO:0005515,GO:0005737,GO:0008033,GO:0008168,GO:0016740,GO:0030488	GO:0003674,GO:0005737,GO:0006399,GO:0008168
p0179	I5AVC0	Cell division protein FtsI/penicillin-binding protein 2	EubceDRAFT1_1969	[Eubacterium] cellulosolvens 6	799	GO:0008658,GO:0016020,GO:0016021,GO:0051301	GO:0005575,GO:0043167,GO:0051301
p0180	A2BRS1	Isoprenyl transferase (EC 2.5.1.-)	uppS	Prochlorococcus marinus (strain AS9601)	267	GO:0000287,GO:0004659,GO:0016740,GO:0016765,GO:0046872	GO:0003674,GO:0016765,GO:0043167
p0181	E0ML07	ABC transporter related protein	R2A130_0550	Ahrensia sp. R2A130	453	GO:0000166,GO:0005524,GO:0016887	GO:0003674,GO:0016887,GO:0043167
p0182	A0A0E8TCT0	Glutamate synthase (EC 1.4.1.14) (EC 1.4.7.1)	gltB_1	Streptococcus pneumoniae	1478	GO:0003824,GO:0006537,GO:0006807,GO:0008152,GO:0015930,GO:0016040,GO:0016041,GO:0016491,GO:0016638,GO:0055114	GO:0003674,GO:0006520,GO:0008150,GO:0009058,GO:0016491
p0183	Q6FAU8	Phosphotransferase system, fructose-specific EI/HPr/EIIA components (EC 2.7.1.69) (EC 2.7.3.9)	fruB	Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1)	950	GO:0003824,GO:0005737,GO:0008965,GO:0008982,GO:0009401,GO:0016301,GO:0016310,GO:0016740,GO:0016772	GO:0003674,GO:0005737,GO:0006810,GO:0008150,GO:0016301,GO:0022857
p0184	Q972C8	Fe-S cluster assembly protein SufB	sufB	Sulfolobus tokodaii (strain DSM 16993 / JCM 10545 / NBRC 100140 / 7)	479	GO:0016226	GO:0006790,GO:0022607,GO:0051186
p0185	Q7NC51	Transketolase (EC 2.2.1.1)	tktA_1	Mycoplasma gallisepticum (strain R(low / passage 15 / clone 2))	662	GO:0003824,GO:0004802,GO:0008152,GO:0016740,GO:0046872	GO:0003674,GO:0008150,GO:0043167
p0186	D5EWT5	Multidrug resistance protein, AcrB/AcrD family	PRU_0318	Prevotella ruminicola (strain ATCC 19189 / JCM 8958 / 23)	1502	GO:0005886,GO:0006855,GO:0015562,GO:0016020,GO:0016021,GO:0022857	GO:0005575,GO:0005886,GO:0006810,GO:0022857
p0187	B8DN44	Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	sucD	Desulfovibrio vulgaris (strain Miyazaki F / DSM 19637)	709	GO:0000166,GO:0003824,GO:0004775,GO:0005524,GO:0006099,GO:0008152,GO:0016874,GO:0046872,GO:0048037	GO:0003674,GO:0006091,GO:0008150,GO:0016874,GO:0043167
p0188	Q0VPI5	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)	asd-1	Alcanivorax borkumensis (strain ATCC 700651 / DSM 11573 / NCIMB 13689 / SK2)	338	GO:0004073,GO:0005737,GO:0008652,GO:0016491,GO:0016620,GO:0046983,GO:0055114	GO:0003674,GO:0005737,GO:0006520,GO:0008150,GO:0009058,GO:0016491
p0189	D5XEJ8	Single-stranded-DNA-specific exonuclease RecJ	TherJR_1205	Thermincola potens (strain JR)	1233	GO:0003676,GO:0004527,GO:0005524,GO:0006281,GO:0006310,GO:0008270,GO:0008409,GO:0016818	GO:0003674,GO:0004518,GO:0006259,GO:0006950,GO:0043167
p0190	D8PA23	Ribosomal protein S12 methylthiotransferase RimO (S12 MTTase) (S12 methylthiotransferase) (EC 2.8.4.4) (Ribosomal protein S12 (aspartate-C(3))-methylthiotransferase) (Ribosome maturation factor RimO)	yliG	Nitrospira defluvii	484	GO:0003824,GO:0005737,GO:0006400,GO:0016740,GO:0018339,GO:0046872	GO:0003674,GO:0005737,GO:0006399,GO:0006464,GO:0043167
p0191	D8PH85	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]	glmU	Nitrospira defluvii	539	GO:0000287,GO:0000902,GO:0003824,GO:0003977,GO:0005737,GO:0006048,GO:0008152,GO:0008360,GO:0009103,GO:0009245,GO:0009252,GO:0016740,GO:0016746,GO:0016779,GO:0019134,GO:0046872,GO:0071555	GO:0000902,GO:0003674,GO:0005737,GO:0005975,GO:0006629,GO:0008150,GO:0009058,GO:0016746,GO:0016779,GO:0034641,GO:0043167,GO:0071554
p0192	A2BK74	Predicted ABC transporter	Hbut_0523	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	251	GO:0000166,GO:0005524,GO:0016887	GO:0003674,GO:0016887,GO:0043167
p0193	A3DDD8	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	aroC	Clostridium thermocellum (strain ATCC 27405 / DSM 1237 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) (Ruminiclostridium thermocellum)	394	GO:0004107,GO:0008652,GO:0009073,GO:0009423,GO:0016829	GO:0006520,GO:0009058,GO:0016829
p0194	B4CU49	Probable transcriptional regulatory protein CfE428DRAFT_0212	CfE428DRAFT_0212	Chthoniobacter flavus Ellin428	252	GO:0003677,GO:0005737,GO:0006351,GO:0006355	GO:0003677,GO:0005737,GO:0009058,GO:0034641
p0195	I3WHV4	Dihydroorotase (EC 3.5.2.3)	pyrC	Bifidobacterium bifidum BGN4	474	GO:0004151,GO:0006221,GO:0016787,GO:0016810,GO:0016812,GO:0046872	GO:0003674,GO:0009058,GO:0016810,GO:0034641,GO:0043167
p0196	D7DS06	Isopropylmalate/citramalate/homocitrate synthase	Mvol_0256	Methanococcus voltae (strain ATCC BAA-1334 / A3)	574	GO:0003824,GO:0003852,GO:0009098,GO:0016740,GO:0019752,GO:0046912	GO:0003674,GO:0006520,GO:0008150,GO:0009058,GO:0016746
p0197	A0A223QK54	Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)	rfbA	Nocardiopsis dassonvillei	298	GO:0008879,GO:0009058,GO:0016740,GO:0016779,GO:0045226,GO:0046872	GO:0003674,GO:0005975,GO:0009058,GO:0016779,GO:0043167
p0198	A1AVI3	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC	Ruthia magnifica subsp. Calyptogena magnifica	386	GO:0000166,GO:0003824,GO:0004775,GO:0005524,GO:0006099,GO:0008152,GO:0016874,GO:0046872	GO:0003674,GO:0006091,GO:0008150,GO:0016874,GO:0043167
p0199	F0ENN3	Hydroxymethylglutaryl-CoA reductase, degradative (EC 1.1.1.88)	HMPREF9087_3025	Enterococcus casseliflavus ATCC 12755	824	GO:0003824,GO:0004420,GO:0008152,GO:0015936,GO:0016491,GO:0016616,GO:0016747,GO:0042282,GO:0050662,GO:0055114	GO:0003674,GO:0008150,GO:0016491,GO:0016746,GO:0034641,GO:0051186
p0200	O85295	Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH)	rsmH	Buchnera aphidicola subsp. Schizaphis graminum (strain Sg)	312	GO:0005737,GO:0006364,GO:0008168,GO:0016740	GO:0003674,GO:0005737,GO:0008168,GO:0034641,GO:0042254
p0201	D8PAX6	NADH-quinone oxidoreductase, subunits C and D (EC 1.6.99.5)	nuoCD	Nitrospira defluvii	583	GO:0003824,GO:0005737,GO:0005886,GO:0008137,GO:0008152,GO:0016020,GO:0016151,GO:0016491,GO:0016651,GO:0030964,GO:0048038,GO:0050136,GO:0055114	GO:0003674,GO:0005575,GO:0005737,GO:0005886,GO:0008150,GO:0016491,GO:0032991,GO:0043167
p0202	P36431	Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)	proS	Chlamydia trachomatis (strain D/UW-3/Cx)	581	GO:0000166,GO:0004812,GO:0004827,GO:0005524,GO:0005737,GO:0006412,GO:0006418,GO:0006433,GO:0016874	GO:0003674,GO:0005737,GO:0006399,GO:0006520,GO:0016874,GO:0043167
p0203	Q1JYJ4	AMP-dependent synthetase and ligase	Dace_1181	Desulfuromonas acetoxidans (strain DSM 684 / 11070)	621	GO:0003824,GO:0008152,GO:0016874	GO:0003674,GO:0008150,GO:0016874
p0204	A0A143X1E9	Phosphoribosylformylglycinamidine synthase 2 (EC 6.3.5.3)	purL	Coriobacteriaceae bacterium CHKCI002	1259	GO:0004642,GO:0016874	GO:0016874
p0205	D9RSJ7	Lipoyl synthase (EC 2.8.1.8) (Lip-syn) (LS) (Lipoate synthase) (Lipoic acid synthase) (Sulfur insertion protein LipA)	lipA	Prevotella melaninogenica (strain ATCC 25845 / DSM 7089 / JCM 6325 / VPI 2381 / B282) (Bacteroides melaninogenicus)	607	GO:0000166,GO:0003824,GO:0005524,GO:0005737,GO:0006464,GO:0009107,GO:0009249,GO:0016740,GO:0016783,GO:0016874,GO:0016992,GO:0046872	GO:0003674,GO:0005737,GO:0006464,GO:0006629,GO:0006790,GO:0009058,GO:0016874,GO:0043167,GO:0051186,GO:0051604
p0206	C8NED3	Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	fabD	Granulicatella adiacens ATCC 49175	343	GO:0004314,GO:0008152,GO:0016419,GO:0016740,GO:0016746	GO:0003674,GO:0008150,GO:0016746
p0207	E8V0L8	Asparagine--tRNA ligase (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS)	asnS	Terriglobus saanensis (strain ATCC BAA-1853 / DSM 23119 / SP1PR4)	455	GO:0000166,GO:0003676,GO:0004812,GO:0004816,GO:0005524,GO:0005737,GO:0006412,GO:0006418,GO:0006421,GO:0016874	GO:0003674,GO:0005737,GO:0006399,GO:0006520,GO:0016874,GO:0043167
p0208	D4IXX5	Permeases	CIY_31170	Butyrivibrio fibrisolvens 16/4	475	GO:0016020,GO:0016021,GO:0022857	GO:0005575,GO:0022857
p0209	F1T693	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	rpe	Atopobium vaginae DSM 15829	228	GO:0003824,GO:0004750,GO:0005975,GO:0006098,GO:0008152,GO:0016853,GO:0016857,GO:0046872	GO:0003674,GO:0005975,GO:0008150,GO:0016491,GO:0016853,GO:0034641,GO:0043167,GO:0051186
p0210	E6SJA4	Methionyl-tRNA formyltransferase	def	Thermaerobacter marianensis (strain ATCC 700841 / DSM 12885 / JCM 10246 / 7p75a)	550	GO:0003824,GO:0004479,GO:0006412,GO:0006413,GO:0009058,GO:0016740,GO:0016742,GO:0016787,GO:0019988,GO:0042586,GO:0046872	GO:0003674,GO:0006399,GO:0006464,GO:0009058,GO:0016810,GO:0043167
p0211	A7I331	Threonine dehydratase (EC 4.3.1.19)	ilvA	Campylobacter hominis (strain ATCC BAA-381 / LMG 19568 / NCTC 13146 / CH001A)	537	GO:0004794,GO:0006520,GO:0006567,GO:0016829,GO:0030170,GO:0048037	GO:0003674,GO:0006520,GO:0009056,GO:0016829,GO:0043167
p0212	A0A1G2ZEZ9	Uncharacterized protein	secF	Planctomycetes bacterium RBG_16_41_13	1158	GO:0005622,GO:0005886,GO:0006605,GO:0006886,GO:0015031,GO:0015450,GO:0016020,GO:0016021	GO:0005575,GO:0005622,GO:0005886,GO:0006605,GO:0006810,GO:0008565,GO:0022857
p0213	A0A1Z8XQ18	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin) (EC 1.17.7.3) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase)	ispG	Verrucomicrobia bacterium TMED71	674	GO:0005506,GO:0008299,GO:0016114,GO:0016491,GO:0019288,GO:0044237,GO:0046429,GO:0046872,GO:0055114	GO:0006629,GO:0008150,GO:0009058,GO:0016491,GO:0043167
p0214	A0A0X8JGR6	6-phosphofructokinase (EC 2.7.1.11)	AXF14_00940	Actinomyces radicidentis	772	GO:0000166,GO:0003872,GO:0005524,GO:0005737,GO:0006002,GO:0006096,GO:0016301,GO:0016310,GO:0016740,GO:0046872	GO:0003674,GO:0005737,GO:0005975,GO:0006091,GO:0008150,GO:0009058,GO:0016301,GO:0016491,GO:0016829,GO:0016853,GO:0034655,GO:0043167,GO:0051186
p0215	E0Q8K3	S-adenosyl-L-homocysteine hydrolase, NAD binding domain protein (EC 3.3.1.1)	ahcY	Bifidobacterium dentium ATCC 27679	488	GO:0004013,GO:0016787	GO:0003674
p0216	Q12CE3	Glycine dehydrogenase (decarboxylating) (EC 1.4.4.2) (Glycine cleavage system P-protein) (Glycine decarboxylase) (Glycine dehydrogenase (aminomethyl-transferring))	gcvP	Polaromonas sp. (strain JS666 / ATCC BAA-500)	1014	GO:0003824,GO:0004375,GO:0006544,GO:0006546,GO:0016491,GO:0019464,GO:0055114	GO:0003674,GO:0006520,GO:0008150,GO:0009056,GO:0016491
p0217	J4XHL1	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1	Slackia sp. CM382	911	GO:0000166,GO:0005524,GO:0006799,GO:0008976,GO:0009358,GO:0016301,GO:0016310,GO:0016740,GO:0046872	GO:0003674,GO:0005623,GO:0008150,GO:0009058,GO:0016301,GO:0032991,GO:0043167
p0218	C7Q8B4	Ribonuclease, Rne/Rng family	Caci_7273	Catenulispora acidiphila (strain DSM 44928 / NRRL B-24433 / NBRC 102108 / JCM 14897)	1334	GO:0003676,GO:0003723,GO:0004540,GO:0006396	GO:0003674,GO:0003723,GO:0004518,GO:0034641
p0219	A0A142XCS3	Ammonia channel	amt	Gemmata sp. SH-PL17	825	GO:0008519,GO:0015696,GO:0016020,GO:0016021	GO:0005575,GO:0006810,GO:0022857
p0220	A9EX64	NADH dehydrogenase (Ubiquinone) (EC 1.6.5.3)	nuoL1	Sorangium cellulosum (strain So ce56) (Polyangium cellulosum (strain So ce56))	854	GO:0008137,GO:0016020,GO:0016021,GO:0016491,GO:0042773,GO:0055114	GO:0005575,GO:0006091,GO:0006810,GO:0008150,GO:0009058,GO:0016491,GO:0034641
p0221	I2F6D6	Transcriptional accessory protein	Theba_1838	Mesotoga prima MesG1.Ag.4.2	717	GO:0003676,GO:0006139	GO:0003674,GO:0034641
p0222	D1CCD0	NADH dehydrogenase (Quinone) (EC 1.6.99.5)	Tter_1539	Thermobaculum terrenum (strain ATCC BAA-798 / YNP1)	580	GO:0008137,GO:0010181,GO:0016491,GO:0046872,GO:0050136,GO:0055114	GO:0008150,GO:0016491,GO:0043167
p0223	B2A4M7	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94) (NAD(P)H-dependent glycerol-3-phosphate dehydrogenase)	gpsA	Natranaerobius thermophilus (strain ATCC BAA-1301 / DSM 18059 / JW/NM-WN-LF)	348	GO:0004367,GO:0005737,GO:0005975,GO:0006072,GO:0006629,GO:0006650,GO:0008654,GO:0009331,GO:0016491,GO:0016616,GO:0046167,GO:0046168,GO:0047952,GO:0055114	GO:0005737,GO:0005975,GO:0006629,GO:0008150,GO:0009056,GO:0009058,GO:0016491,GO:0032991
p0224	C3MCQ9	Exodeoxyribonuclease 7 large subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII large subunit) (Exonuclease VII large subunit)	xseA	Sinorhizobium fredii (strain NBRC 101917 / NGR234)	527	GO:0003676,GO:0004518,GO:0004527,GO:0005737,GO:0006308,GO:0008855,GO:0009318,GO:0016787	GO:0003674,GO:0004518,GO:0005622,GO:0005737,GO:0006259,GO:0032991,GO:0034655
p0225	J9QTC7	Acetyl-CoA carboxylase, carboxyltransferase component (Subunits alpha and beta)	B739_1093	Riemerella anatipestifer RA-CH-1	542	GO:0016020,GO:0016021,GO:0016740,GO:0016874	GO:0003674,GO:0005575,GO:0016874
p0226	Q58454	Uncharacterized protein MJ1054 (EC 1.1.1.-) [Cleaved into: Mja UDPGD intein]	MJ1054	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	895	GO:0004519,GO:0016491,GO:0016539,GO:0016616,GO:0055114	GO:0004518,GO:0008150,GO:0016491,GO:0051604
p0227	E1QUA8	Glutamine--scyllo-inositol transaminase (EC 2.6.1.50)	Vdis_1728	Vulcanisaeta distributa (strain DSM 14429 / JCM 11212 / NBRC 100878 / IC-017)	406	GO:0003824,GO:0008483,GO:0016740,GO:0047310	GO:0003674
